,epu,epu,epu,spi,spi,spi,spi,spi,spi,spi
2013-11-01,120.6,153.1,100.9,131.214,126.7325,129.71,132.388,131.055,129.1225,128.946
2013-12-01,124.2,120.6,153.1,126.7325,129.71,132.388,131.055,129.1225,128.946,128.8775
2014-01-01,103.5,124.2,120.6,129.71,132.388,131.055,129.1225,128.946,128.8775,126.516
2014-02-01,70.6,103.5,124.2,132.388,131.055,129.1225,128.946,128.8775,126.516,124.73
2014-03-01,100.0,70.6,103.5,131.055,129.1225,128.946,128.8775,126.516,124.73,122.6025
2014-04-01,129.5,100.0,70.6,129.1225,128.946,128.8775,126.516,124.73,122.6025,124.7925
2014-05-01,77.4,129.5,100.0,128.946,128.8775,126.516,124.73,122.6025,124.7925,123.05
2014-06-01,105.8,77.4,129.5,128.8775,126.516,124.73,122.6025,124.7925,123.05,120.8225
2014-07-01,94.6,105.8,77.4,126.516,124.73,122.6025,124.7925,123.05,120.8225,119.72
2014-08-01,77.6,94.6,105.8,124.73,122.6025,124.7925,123.05,120.8225,119.72,117.894
2014-09-01,107.9,77.6,94.6,122.6025,124.7925,123.05,120.8225,119.72,117.894,111.685
2014-10-01,99.8,107.9,77.6,124.7925,123.05,120.8225,119.72,117.894,111.685,110.438
2014-11-01,120.1,99.8,107.9,123.05,120.8225,119.72,117.894,111.685,110.438,110.4225
2014-12-01,58.9,120.1,99.8,120.8225,119.72,117.894,111.685,110.438,110.4225,107.97
2015-01-01,98.0,58.9,120.1,119.72,117.894,111.685,110.438,110.4225,107.97,100.88
2015-02-01,95.1,98.0,58.9,117.894,111.685,110.438,110.4225,107.97,100.88,94.65
2015-03-01,116.3,95.1,98.0,111.685,110.438,110.4225,107.97,100.88,94.65,94.165
2015-04-01,63.9,116.3,95.1,110.438,110.4225,107.97,100.88,94.65,94.165,93.08
2015-05-01,68.3,63.9,116.3,110.4225,107.97,100.88,94.65,94.165,93.08,90.846
2015-06-01,95.5,68.3,63.9,107.97,100.88,94.65,94.165,93.08,90.846,85.93
2015-07-01,133.6,95.5,68.3,100.88,94.65,94.165,93.08,90.846,85.93,79.482
2015-08-01,60.2,133.6,95.5,94.65,94.165,93.08,90.846,85.93,79.482,82.34
2015-09-01,96.4,60.2,133.6,94.165,93.08,90.846,85.93,79.482,82.34,78.9775
2015-10-01,87.3,96.4,60.2,93.08,90.846,85.93,79.482,82.34,78.9775,76.62
2015-11-01,96.1,87.3,96.4,90.846,85.93,79.482,82.34,78.9775,76.62,73.345
2015-12-01,94.5,96.1,87.3,85.93,79.482,82.34,78.9775,76.62,73.345,70.645
2016-01-01,127.5,94.5,96.1,79.482,82.34,78.9775,76.62,73.345,70.645,73.924
2016-02-01,108.1,127.5,94.5,82.34,78.9775,76.62,73.345,70.645,73.924,75.1275
2016-03-01,155.2,108.1,127.5,78.9775,76.62,73.345,70.645,73.924,75.1275,87.3675
2016-04-01,165.2,155.2,108.1,76.62,73.345,70.645,73.924,75.1275,87.3675,103.006
2016-05-01,117.5,165.2,155.2,73.345,70.645,73.924,75.1275,87.3675,103.006,96.295
2016-06-01,131.5,117.5,165.2,70.645,73.924,75.1275,87.3675,103.006,96.295,88.0175
2016-07-01,112.4,131.5,117.5,73.924,75.1275,87.3675,103.006,96.295,88.0175,92.874
2016-08-01,116.3,112.4,131.5,75.1275,87.3675,103.006,96.295,88.0175,92.874,98.3475
2016-09-01,147.6,116.3,112.4,87.3675,103.006,96.295,88.0175,92.874,98.3475,98.268
2016-10-01,106.8,147.6,116.3,103.006,96.295,88.0175,92.874,98.3475,98.268,101.385
2016-11-01,133.1,106.8,147.6,96.295,88.0175,92.874,98.3475,98.268,101.385,115.1875
2016-12-01,130.6,133.1,106.8,88.0175,92.874,98.3475,98.268,101.385,115.1875,129.26
2017-01-01,306.0,130.6,133.1,92.874,98.3475,98.268,101.385,115.1875,129.26,128.37
2017-02-01,176.4,306.0,130.6,98.3475,98.268,101.385,115.1875,129.26,128.37,133.165
2017-03-01,349.1,176.4,306.0,98.268,101.385,115.1875,129.26,128.37,133.165,137.448
2017-04-01,174.2,349.1,176.4,101.385,115.1875,129.26,128.37,133.165,137.448,123.785
2017-05-01,130.8,174.2,349.1,115.1875,129.26,128.37,133.165,137.448,123.785,126.5
2017-06-01,227.7,130.8,174.2,129.26,128.37,133.165,137.448,123.785,126.5,130.104
2017-07-01,228.2,227.7,130.8,128.37,133.165,137.448,123.785,126.5,130.104,137.805
2017-08-01,164.7,228.2,227.7,133.165,137.448,123.785,126.5,130.104,137.805,149.6075
2017-09-01,206.4,164.7,228.2,137.448,123.785,126.5,130.104,137.805,149.6075,152.582
2017-10-01,142.5,206.4,164.7,123.785,126.5,130.104,137.805,149.6075,152.582,150.97
2017-11-01,206.0,142.5,206.4,126.5,130.104,137.805,149.6075,152.582,150.97,153.0725
2017-12-01,167.7,206.0,142.5,130.104,137.805,149.6075,152.582,150.97,153.0725,163.87
2018-01-01,265.1,167.7,206.0,137.805,149.6075,152.582,150.97,153.0725,163.87,150.78
2018-02-01,149.6,265.1,167.7,149.6075,152.582,150.97,153.0725,163.87,150.78,149.9125
2018-03-01,254.1,149.6,265.1,152.582,150.97,153.0725,163.87,150.78,149.9125,147.95
2018-04-01,241.7,254.1,149.6,150.97,153.0725,163.87,150.78,149.9125,147.95,146.68
2018-05-01,210.8,241.7,254.1,153.0725,163.87,150.78,149.9125,147.95,146.68,152.3825
2018-06-01,203.1,210.8,241.7,163.87,150.78,149.9125,147.95,146.68,152.3825,154.344
2018-07-01,395.7,203.1,210.8,150.78,149.9125,147.95,146.68,152.3825,154.344,154.0125
2018-08-01,269.5,395.7,203.1,149.9125,147.95,146.68,152.3825,154.344,154.0125,160.818
2018-09-01,314.1,269.5,395.7,147.95,146.68,152.3825,154.344,154.0125,160.818,162.7375
2018-10-01,343.4,314.1,269.5,146.68,152.3825,154.344,154.0125,160.818,162.7375,162.0275
2018-11-01,438.2,343.4,314.1,152.3825,154.344,154.0125,160.818,162.7375,162.0275,152.824
2018-12-01,248.5,438.2,343.4,154.344,154.0125,160.818,162.7375,162.0275,152.824,142.63
2019-01-01,288.1,248.5,438.2,154.0125,160.818,162.7375,162.0275,152.824,142.63,140.3175
2019-02-01,240.0,288.1,248.5,160.818,162.7375,162.0275,152.824,142.63,140.3175,141.8575
2019-03-01,411.2,240.0,288.1,162.7375,162.0275,152.824,142.63,140.3175,141.8575,144.742
2019-04-01,319.4,411.2,240.0,162.0275,152.824,142.63,140.3175,141.8575,144.742,148.48
2019-05-01,365.1,319.4,411.2,152.824,142.63,140.3175,141.8575,144.742,148.48,148.999
2019-06-01,649.1,365.1,319.4,142.63,140.3175,141.8575,144.742,148.48,148.999,145.3125
2019-07-01,375.9,649.1,365.1,140.3175,141.8575,144.742,148.48,148.999,145.3125,145.94
2019-08-01,396.0,375.9,649.1,141.8575,144.742,148.48,148.999,145.3125,145.94,140.736
2019-09-01,347.4,396.0,375.9,144.742,148.48,148.999,145.3125,145.94,140.736,139.47
2019-10-01,234.1,347.4,396.0,148.48,148.999,145.3125,145.94,140.736,139.47,138.59
2019-11-01,396.2,234.1,347.4,148.999,145.3125,145.94,140.736,139.47,138.59,140.906
2019-12-01,337.9,396.2,234.1,145.3125,145.94,140.736,139.47,138.59,140.906,141.56
2020-01-01,250.3,337.9,396.2,145.94,140.736,139.47,138.59,140.906,141.56,139.314
2020-02-01,195.7,250.3,337.9,140.736,139.47,138.59,140.906,141.56,139.314,132.9125
2020-03-01,219.4,195.7,250.3,139.47,138.59,140.906,141.56,139.314,132.9125,131.4825
